english_id,hebrew_name,total_olim,avg_age,pct_employed,pct_female,pct_male,score,madad
emek_hefer,בחן,5,25.4,40.0,20.0,80.0,1.241,8
merhavim,בטחה,2,19.5,0.0,100.0,0.0,0.232,6
merom_hagalil,ביריה,13,37.5,84.6,38.5,61.5,0.016,5
hof_hacarmel,בית אורן,1,67.0,0.0,100.0,0.0,1.043,8
tel_aviv_yafo,בית אל,66,36.3,53.0,54.5,45.5,1.293,8
brener,בית אלעזרי,3,29.7,66.7,33.3,66.7,1.239,8
hagilboa,בית אלפא,459,28.0,22.0,48.8,51.2,-0.098,5
lod,בית אריה,28,37.4,50.0,46.4,53.6,-0.738,3
drom_hasharon,בית ברל,2,26.5,50.0,0.0,100.0,1.416,8
hevel_yavne,בית גמליאל,3,75.3,66.7,33.3,66.7,0.069,6
beit_dagan,בית דגן,25,35.6,40.0,36.0,64.0,0.571,7
sdot_negev,בית הגדי,5,41.6,60.0,40.0,60.0,0.185,6
mevoot_hahermon,בית הלל,1,32.0,100.0,100.0,0.0,0.799,7
mate_asher,בית העמק,8,32.8,50.0,37.5,62.5,0.52,7
mate_yehuda,בית זית,15,33.5,60.0,46.7,53.3,0.757,7
emek_hayarden,בית זרע,92,22.4,33.7,51.1,48.9,0.475,7
tel_aviv_yafo,בית חורון,3,72.3,33.3,33.3,66.7,1.293,8
hof_hacarmel,בית חנניה,2,35.0,50.0,50.0,50.0,1.043,8
emek_hefer,בית חרות,2,14.0,50.0,100.0,0.0,1.241,8
gezer,בית חשמונאי,3,50.7,100.0,33.3,66.7,1.162,8
hof_hasharon,בית יהושע,9,30.3,66.7,66.7,33.3,1.38,8
emek_hamaayanot,בית יוסף,1,27.0,100.0,100.0,0.0,0.304,6
emek_hefer,בית ינאי,1,69.0,0.0,100.0,0.0,1.241,8
emek_hefer,בית יצחק שער חפר,10,34.8,60.0,50.0,50.0,1.241,8
emek_yizrael,בית לחם הגלילית,2,69.5,50.0,50.0,50.0,1.115,8
mate_yehuda,בית מאיר,3,23.0,66.7,33.3,66.7,0.757,7
hevel_modiin,בית נחמיה,2,51.5,100.0,50.0,50.0,0.837,7
yoav,בית ניר,7,31.4,71.4,57.1,42.9,1.111,8
beer_tuvya,בית עזרא,1,19.0,0.0,100.0,0.0,0.856,7
hevel_modiin,בית עריף,4,17.0,50.0,50.0,50.0,0.837,7
ramat_gan,בית צבי,51,17.1,7.8,9.8,90.2,1.099,8
bnei_shimon,בית קמה,2,18.5,100.0,50.0,50.0,0.971,7
hagalil_hatahton,בית קשת,2,19.0,0.0,0.0,100.0,0.594,7
hevel_yavne,בית רבן,11,18.8,36.4,63.6,36.4,0.069,6
hagalil_hatahton,בית רמון,10,20.2,10.0,40.0,60.0,0.594,7
bet_shean,בית שאן,193,30.9,46.1,48.2,51.8,-0.392,4
beit_shemesh,בית שמש,6348,26.4,42.0,51.6,48.4,-1.485,2
kiryat_tivon,בית שערים,1,25.0,100.0,0.0,100.0,1.215,8
rishon_letsiyon,בית שקמה,2,24.5,50.0,0.0,100.0,0.727,7
emek_hefer,ביתן אהרן,8,19.6,25.0,50.0,50.0,1.241,8
beitar_ilit,ביתר עלית,488,30.1,48.8,49.6,50.4,-1.92,2
emek_yizrael,בלפוריה,7,40.0,57.1,42.9,57.1,1.115,8
mate_asher,בן עמי,7,26.1,28.6,57.1,42.9,0.52,7
hevel_modiin,בן שמן כפר הנוער,6,28.3,66.7,50.0,50.0,0.837,7
bnei_brak,בני ברק,1297,26.9,32.9,53.2,46.8,-1.627,2
lahish,בני דקלים,3,50.3,66.7,33.3,66.7,0.548,7
hevel_yavne,בני דרום,4,50.8,75.0,25.0,75.0,0.069,6
lev_hasharon,בני דרור,16,61.9,18.8,68.8,31.2,1.229,8
golan,בני יהודה,2,57.5,100.0,100.0,0.0,0.207,6
hevel_modiin,בני עטרות,4,12.8,25.0,75.0,25.0,0.837,7
rishon_letsiyon,בני עיש,170,40.7,50.0,53.5,46.5,0.727,7
hof_hasharon,בני ציון,7,21.1,28.6,42.9,57.1,1.38,8
nahal_sorek,בני ראם,4,54.8,75.0,75.0,25.0,-0.057,5
brener,בניה,2,78.5,0.0,50.0,50.0,1.239,8
binyamina_givat_ada,בנימינה,97,25.9,50.5,55.7,44.3,1.365,8
hof_hasharon,בצרה,4,10.0,0.0,50.0,50.0,1.38,8
mate_asher,בצת,9,30.9,33.3,55.6,44.4,0.52,7
mate_yehuda,בקוע,8,18.5,37.5,62.5,37.5,0.757,7
mate_yehuda,בר גיורא,4,62.2,25.0,75.0,25.0,0.757,7
merom_hagalil,בר יוחאי,4,61.8,75.0,50.0,50.0,0.016,5
shomron,ברוכין,135,17.2,31.9,49.6,50.4,0.272,6
shaar_hanegev,ברור חיל,4,48.5,25.0,50.0,50.0,0.769,7
beer_tuvya,ברכה,16,27.6,37.5,56.2,43.8,0.856,7
hof_ashkelon,ברכיה,4,54.0,0.0,75.0,25.0,0.648,7
hagalil_haelyon,ברעם,11,26.6,36.4,45.5,54.5,0.602,7
hagilboa,ברק,1,63.0,100.0,0.0,100.0,-0.098,5
menashe,ברקאי,8,21.0,37.5,50.0,50.0,0.638,7
holon,ברקן,16,39.1,75.0,56.2,43.8,0.371,7
hevel_modiin,ברקת,2,22.0,50.0,50.0,50.0,0.837,7
hof_ashkelon,בת הדר,2,49.0,100.0,100.0,0.0,0.648,7
emek_hefer,בת חן,1,19.0,0.0,100.0,0.0,1.241,8
emek_hefer,בת חפר,15,48.2,40.0,40.0,60.0,1.241,8
bat_yam,בת ים,18182,36.3,61.7,52.1,47.9,-0.219,5
tel_aviv_yafo,בת עין,45,28.1,55.6,66.7,33.3,1.293,8
hof_hacarmel,בת שלמה,7,18.0,42.9,42.9,57.1,1.043,8
jaljulya,ג'לג'וליה,1,80.0,100.0,100.0,0.0,-0.947,3
gan_rave,גאליה,3,18.7,33.3,66.7,33.3,1.389,8
eshkol,גבולות,18,28.6,72.2,50.0,50.0,0.309,6
shaar_hanegev,גבים,1,18.0,0.0,100.0,0.0,0.769,7
hagilboa,גבע,23,22.9,43.5,47.8,52.2,-0.098,5
mate_binyamin,גבע בנימין,65,33.2,63.1,50.8,49.2,-0.081,5
hof_hacarmel,גבע כרמל,3,17.3,33.3,33.3,66.7,1.043,8
gane_tikva,גבעון,1,23.0,100.0,100.0,0.0,1.474,9
mate_binyamin,גבעון חדשה,12,39.8,58.3,58.3,41.7,-0.081,5
hagalil_hatahton,גבעת אבני,12,33.8,50.0,75.0,25.0,0.594,7
emek_yizrael,גבעת אלה,2,18.0,0.0,100.0,0.0,1.115,8
brener,גבעת ברנר,9,36.4,77.8,44.4,55.6,1.239,8
ramat_hasharon,גבעת זאב,377,32.3,53.6,55.7,44.3,1.699,9
menashe,גבעת חביבה,2,20.0,50.0,50.0,50.0,0.638,7
givaat_shmuel,גבעת חיים אחוד,4,19.2,25.0,50.0,50.0,1.135,8
emek_hefer,גבעת חיים מאוחד,4,38.8,25.0,50.0,50.0,1.241,8
golan,גבעת יואב,1,24.0,100.0,100.0,0.0,0.207,6
mate_yehuda,גבעת יערים,13,29.1,69.2,38.5,61.5,0.757,7
mate_yehuda,גבעת ישעיהו,2,45.0,50.0,100.0,0.0,0.757,7
hevel_modiin,גבעת כח,1,52.0,100.0,0.0,100.0,0.837,7
binyamina_givat_ada,גבעת עדה,5,27.6,40.0,80.0,20.0,1.365,8
megido,גבעת עוז,1,32.0,100.0,100.0,0.0,0.467,7
givaat_shmuel,גבעת שמואל,1272,25.6,38.8,53.5,46.5,1.135,8
mate_yehuda,גבעת שמש,2,23.0,50.0,50.0,50.0,0.757,7
hof_ashkelon,גברעם,1,49.0,100.0,0.0,100.0,0.648,7
emek_yizrael,גבת,4,23.2,25.0,25.0,75.0,1.115,8
gedera,גדרה,134,37.8,53.7,53.0,47.0,0.747,7
maale_yosef,גורן,18,32.4,27.8,72.2,27.8,0.466,7
emek_yizrael,גזית,66,18.0,9.1,63.6,36.4,1.115,8
gezer,גזר,7,26.1,42.9,71.4,28.6,1.162,8
hof_ashkelon,גיאה,9,23.8,33.3,44.4,55.6,0.648,7
misgav,גילון,3,52.3,66.7,33.3,66.7,0.619,7
hevel_modiin,גינתון,6,19.5,16.7,83.3,16.7,0.837,7
yoav,גלאון,3,39.7,66.7,33.3,66.7,1.111,8
haifa,גלגל,3,33.7,66.7,0.0,100.0,0.391,7
hof_hasharon,גליל ים,1,23.0,0.0,100.0,0.0,1.38,8
nahariya,גלעד (אבן יצחק),2,16.0,0.0,50.0,50.0,0.143,6
